IdTransaccion;Fecha;IdCategoria;IdProducto;Producto;Cantidad;PrecioUnitario;TotalVenta
91;3/8/2024;3;91;Cafetera;1;880;880
92;4/8/2024;1;92;Plancha;1;410;410
93;5/8/2024;4;93;Licuadora;1;530;530
94;6/8/2024;2;94;Tostador;1;1030;1030
95;7/8/2024;1;95;Máquina de Coser;1;1890;1890
96;8/8/2024;3;96;Molinillo;1;850;850
97;9/8/2024;1;97;Hervidor;1;390;390
98;10/8/2024;4;98;Exprimidor;1;140;140
99;11/8/2024;2;99;Tetera;1;950;950
100;12/8/2024;1;100;Molinillo;1;380;380
101;13/8/2024;3;101;Freidora;1;660;660
102;14/8/2024;1;102;Sartén;1;480;480
103;15/8/2024;4;103;Licuadora;1;590;590
104;16/8/2024;2;104;Tostador;1;890;890
105;17/8/2024;1;105;Máquina de Coser;1;1580;1580
106;18/8/2024;3;106;Molinillo;1;720;720
107;19/8/2024;1;107;Hervidor;1;340;340
108;20/8/2024;4;108;Exprimidor;1;160;160
109;21/8/2024;2;109;Tetera;1;880;880
110;22/8/2024;1;110;Molinillo;1;410;410
111;23/8/2024;3;111;Freidora;1;690;690
112;24/8/2024;1;112;Sartén;1;510;510
113;25/8/2024;4;113;Licuadora;1;620;620
114;26/8/2024;2;114;Tostador;1;970;970
115;27/8/2024;1;115;Máquina de Coser;1;1680;1680
116;28/8/2024;3;116;Molinillo;1;770;770
117;29/8/2024;1;117;Hervidor;1;360;360
118;30/8/2024;4;118;Exprimidor;1;180;180
119;31/8/2024;2;119;Tetera;1;910;910
120;1/9/2024;1;120;Molinillo;1;440;440
121;2/9/2024;3;121;Freidora;1;710;710
122;3/9/2024;1;122;Sartén;1;530;530
123;4/9/2024;4;123;Licuadora;1;650;650
124;5/9/2024;2;124;Tostador;1;1050;1050
125;6/9/2024;1;125;Máquina de Coser;1;1780;1780
126;7/9/2024;3;126;Molinillo;1;800;800
127;8/9/2024;1;127;Hervidor;1;380;380
128;9/9/2024;4;128;Exprimidor;1;200;200
129;10/9/2024;2;129;Tetera;1;930;930
130;11/9/2024;1;130;Molinillo;1;470;470
131;12/9/2024;3;131;Freidora;1;730;730
132;13/9/2024;1;132;Sartén;1;550;550
133;14/9/2024;4;133;Licuadora;1;660;660
134;15/9/2024;2;134;Tostador;1;1010;1010
135;16/9/2024;1;135;Máquina de Coser;1;1680;1680
136;17/9/2024;3;136;Molinillo;1;780;780
137;18/9/2024;1;137;Hervidor;1;410;410
138;19/9/2024;4;138;Exprimidor;1;220;220
139;20/9/2024;2;139;Tetera;1;960;960
140;21/9/2024;1;140;Molinillo;1;490;490
